line,day,incident,min_delay
504,Thursday,Operations,5
506,Thursday,Diversion,96
505,Thursday,Cleaning - Unsanitary,9
504,Thursday,Operations,5
501,Thursday,Operations,8
501,Thursday,Cleaning - Unsanitary,9
506,Thursday,Operations,8
501,Thursday,Emergency Services,10
512,Thursday,Operations,8
501,Thursday,Operations,8
505,Thursday,Operations,9
501,Thursday,Operations,9
510,Thursday,Cleaning - Unsanitary,5
510,Thursday,Cleaning - Unsanitary,5
501,Thursday,Operations,10
504,Thursday,Operations,6
511,Thursday,Security,9
504,Thursday,Utilized Off Route,8
501,Thursday,Utilized Off Route,10
501,Friday,Operations,10
504,Friday,Operations,10
504,Friday,Operations,10
501,Friday,Operations,16
501,Friday,Operations,17
501,Friday,Operations,10
504,Friday,Mechanical,5
504,Friday,Operations,4
504,Friday,Operations,3
506,Friday,Held By,13
504,Friday,Operations,5
504,Friday,Operations,4
504,Friday,Operations,3
504,Friday,Operations,3
511,Friday,Cleaning - Unsanitary,7
511,Friday,Operations,7
503,Friday,Operations,9
501,Friday,Operations,8
511,Friday,Operations,7
506,Friday,Operations,8
506,Friday,Operations,8
504,Friday,Operations,4
510,Friday,Security,10
511,Friday,Operations,7
504,Friday,Operations,6
503,Friday,Operations,10
505,Friday,Mechanical,8
501,Friday,Operations,8
501,Friday,Operations,8
504,Friday,Operations,5
504,Friday,Cleaning - Unsanitary,5
505,Friday,Operations,8
506,Friday,Cleaning - Unsanitary,8
501,Friday,Operations,8
505,Friday,Operations,8
505,Friday,Operations,4
504,Friday,Mechanical,4
501,Friday,Operations,8
506,Friday,Operations,7
510,Friday,Operations,10
509,Friday,Operations,7
506,Friday,Operations,7
504,Friday,Operations,5
510,Friday,Operations,10
510,Friday,Mechanical,9
506,Friday,Operations,7
501,Friday,Operations,10
505,Friday,Operations,8
504,Friday,Operations,4
504,Friday,Operations,5
512,Friday,Operations,6
501,Friday,Operations,8
506,Friday,Operations,8
501,Friday,Operations,10
512,Friday,Operations,6
510,Friday,Operations,3
506,Friday,Operations,7
511,Friday,Operations,7
501,Friday,Operations,10
510,Friday,Operations,10
501,Friday,Operations,9
501,Friday,Operations,10
501,Friday,Operations,10
506,Friday,Operations,8
501,Friday,Operations,10
501,Friday,Operations,10
505,Friday,Cleaning - Unsanitary,8
501,Friday,Operations,10
501,Friday,Operations,8
501,Friday,Operations,8
505,Friday,Operations,8
505,Friday,Operations,8
505,Friday,Operations,8
504,Friday,Operations,4
504,Friday,Operations,5
501,Friday,Mechanical,9
504,Friday,Operations,4
501,Friday,Operations,10
505,Friday,Security,8
504,Friday,Operations,4
505,Friday,Operations,8
505,Friday,Operations,8
510,Friday,Operations,10
504,Friday,Operations,4
505,Friday,Operations,8
504,Friday,Operations,5
505,Friday,Operations,8
501,Friday,Operations,9
504,Friday,Operations,5
504,Friday,Operations,5
505,Friday,Emergency Services,9
505,Friday,Security,15
504,Friday,Operations,8
504,Friday,Operations,8
505,Friday,Security,13
511,Friday,Security,10
509,Friday,Security,0
501,Saturday,Operations,10
501,Saturday,Operations,10
501,Saturday,Collision - TTC Involved,10
501,Saturday,Mechanical,10
506,Saturday,Emergency Services,0
504,Saturday,Mechanical,8
512,Saturday,Operations,10
509,Saturday,Operations,6
510,Saturday,Mechanical,7
510,Saturday,Cleaning - Unsanitary,8
501,Saturday,Operations,8
501,Saturday,Operations,10
501,Saturday,Operations,8
504,Saturday,Mechanical,5
501,Saturday,Mechanical,9
505,Saturday,Mechanical,8
501,Saturday,Mechanical,9
504,Saturday,Operations,5
501,Saturday,Operations,10
501,Saturday,Operations,14
509,Saturday,Operations,7
512,Saturday,Operations,10
501,Saturday,Mechanical,10
506,Saturday,General Delay,7
506,Saturday,Overhead,7
501,Saturday,Operations,8
504,Saturday,Operations,5
510,Saturday,Operations,8
555,Saturday,Operations,0
510,Saturday,Operations,10
504,Saturday,Operations,5
505,Saturday,Operations,5
510,Saturday,Operations,8
504,Saturday,Operations,6
511,Saturday,Operations,6
511,Saturday,Operations,6
510,Saturday,Operations,5
501,Saturday,Operations,9
505,Saturday,Emergency Services,27
510,Saturday,Operations,5
511,Saturday,Operations,6
504,Saturday,Operations,6
504,Saturday,Operations,11
501,Saturday,Operations,8
505,Saturday,Cleaning - Unsanitary,7
509,Saturday,Security,7
504,Saturday,Operations,5
505,Saturday,Operations,7
501,Saturday,Diversion,20
504,Saturday,Operations,5
504,Saturday,Operations,5
504,Saturday,Operations,5
504,Saturday,Operations,5
505,Saturday,Cleaning - Unsanitary,7
501,Saturday,Operations,9
505,Saturday,Operations,7
505,Saturday,Operations,7
504,Saturday,Security,6
505,Saturday,Operations,7
501,Saturday,Operations,8
501,Saturday,Operations,8
501,Saturday,Operations,5
509,Saturday,Operations,8
505,Saturday,Security,0
504,Saturday,Cleaning - Unsanitary,6
501,Saturday,Operations,9
505,Saturday,Security,13
510,Saturday,Mechanical,5
504,Saturday,Operations,6
504,Saturday,Emergency Services,14
501,Saturday,Utilized Off Route,13
501,Saturday,Operations,13
501,Saturday,Operations,10
501,Saturday,Mechanical,10
506,Saturday,Collision - TTC Involved,8
504,Saturday,Operations,8
510,Saturday,Security,9
504,Saturday,Operations,6
NA,Sunday,Cleaning - Unsanitary,15
501,Sunday,Security,30
501,Sunday,Operations,12
506,Sunday,Emergency Services,0
501,Sunday,Operations,9
501,Sunday,Operations,12
501,Sunday,Security,10
501,Sunday,Operations,9
501,Sunday,Operations,9
504,Sunday,Operations,6
509,Sunday,Mechanical,10
510,Sunday,Diversion,7
504,Sunday,Operations,5
501,Sunday,Operations,14
506,Sunday,Mechanical,7
504,Sunday,Operations,5
510,Sunday,Operations,4
504,Sunday,Operations,5
506,Sunday,Utilized Off Route,7
501,Sunday,Utilized Off Route,9
501,Sunday,Utilized Off Route,9
505,Sunday,Cleaning - Unsanitary,7
511,Sunday,General Delay,7
511,Sunday,Operations,8
504,Sunday,Operations,5
504,Sunday,Operations,0
504,Sunday,Diversion,57
501,Sunday,Security,9
505,Sunday,Held By,63
505,Sunday,Mechanical,7
504,Sunday,Operations,0
504,Sunday,Operations,5
501,Sunday,Security,0
501,Sunday,Operations,9
510,Sunday,Operations,3
504,Sunday,Operations,6
501,Sunday,Operations,9
501,Sunday,Cleaning - Unsanitary,8
504,Sunday,Operations,5
504,Sunday,Operations,5
510,Sunday,Operations,5
501,Sunday,Cleaning - Unsanitary,10
504,Sunday,Operations,7
501,Sunday,Cleaning - Unsanitary,9
505,Sunday,Cleaning - Unsanitary,10
511,Sunday,Operations,8
504,Sunday,Security,8
505,Sunday,Security,8
504,Sunday,Mechanical,7
301,Sunday,Security,5
501,Sunday,Utilized Off Route,10
506,Sunday,Mechanical,16
504,Monday,Security,10
504,Monday,Operations,4
501,Monday,Late Entering Service,5
504,Monday,Operations,5
501,Monday,Operations,8
504,Monday,Operations,7
504,Monday,Operations,5
506,Monday,Operations,9
511,Monday,Held By,0
510,Monday,Operations,4
504,Monday,Operations,5
501,Monday,Operations,8
501,Monday,Operations,10
503,Monday,Operations,10
504,Monday,Held By,20
501,Monday,Diversion,8
505,Monday,Emergency Services,8
503,Monday,Diversion,7
506,Monday,Mechanical,9
503,Monday,Operations,10
501,Monday,Operations,10
501,Monday,Mechanical,10
509,Monday,Operations,8
512,Monday,Cleaning - Unsanitary,6
501,Monday,Operations,5
501,Monday,Operations,5
504,Monday,Operations,5
504,Monday,Operations,5
504,Monday,Operations,5
504,Monday,Operations,5
503,Monday,Operations,10
506,Monday,Operations,9
501,Monday,Operations,8
501,Monday,Operations,10
501,Monday,Operations,8
505,Monday,Operations,8
506,Monday,Operations,7
505,Monday,Cleaning - Unsanitary,7
501,Monday,Operations,8
501,Monday,Operations,8
504,Monday,Mechanical,5
501,Monday,Operations,9
506,Monday,Mechanical,10
501,Monday,Operations,8
501,Monday,Held By,9
511,Monday,Operations,8
501,Monday,Mechanical,8
511,Monday,Operations,8
505,Monday,Operations,8
506,Monday,Operations,9
510,Monday,Operations,10
504,Monday,Operations,5
512,Monday,Operations,6
511,Monday,Operations,8
504,Monday,Operations,5
505,Monday,Operations,8
512,Monday,Security,35
506,Monday,Utilized Off Route,7
501,Monday,Investigation,8
501,Monday,Investigation,8
505,Monday,Security,13
504,Monday,Operations,5
501,Monday,Investigation,6
504,Monday,Operations,5
504,Monday,Mechanical,7
505,Monday,Security,9
504,Tuesday,Operations,44
501,Tuesday,Operations,8
501,Tuesday,Mechanical,8
504,Tuesday,Operations,4
504,Tuesday,Mechanical,10
501,Tuesday,Operations,14
504,Tuesday,Mechanical,10
301,Tuesday,Security,1
504,Tuesday,Operations,5
501,Tuesday,Operations,8
504,Tuesday,Mechanical,4
504,Tuesday,Operations,7
504,Tuesday,Operations,5
504,Tuesday,Mechanical,4
503,Tuesday,Cleaning - Unsanitary,10
501,Tuesday,Operations,8
511,Tuesday,Operations,9
510,Tuesday,Emergency Services,0
501,Tuesday,Operations,5
501,Tuesday,Operations,5
504,Tuesday,Mechanical,5
503,Tuesday,Emergency Services,14
505,Tuesday,Diversion,14
505,Tuesday,Operations,8
504,Tuesday,Operations,5
505,Tuesday,Operations,7
501,Tuesday,Diversion,170
512,Tuesday,Overhead,6
506,Tuesday,Diversion,49
505,Tuesday,Security,15
501,Tuesday,Mechanical,8
501,Tuesday,Operations,10
511,Tuesday,Operations,9
504,Tuesday,Operations,5
501,Tuesday,Operations,8
505,Tuesday,Security,12
501,Tuesday,Operations,8
501,Tuesday,Operations,8
501,Tuesday,Operations,8
504,Tuesday,Operations,5
505,Tuesday,Emergency Services,0
505,Tuesday,Operations,8
511,Tuesday,Operations,9
501,Tuesday,Mechanical,8
512,Tuesday,Operations,6
505,Tuesday,Emergency Services,21
505,Tuesday,Cleaning - Unsanitary,7
510,Tuesday,Operations,10
506,Tuesday,Operations,9
501,Tuesday,Collision - TTC Involved,8
505,Tuesday,Operations,8
504,Tuesday,Operations,7
504,Tuesday,Operations,5
506,Tuesday,Operations,9
506,Tuesday,Diversion,6
504,Tuesday,Operations,5
504,Tuesday,Operations,5
504,Tuesday,Operations,5
511,Tuesday,Operations,7
512,Tuesday,Operations,6
504,Tuesday,Operations,5
505,Tuesday,Operations,8
504,Tuesday,Operations,5
504,Tuesday,Operations,5
505,Tuesday,Mechanical,10
511,Tuesday,Operations,8
504,Tuesday,Operations,5
506,Tuesday,Operations,9
504,Tuesday,Operations,5
506,Tuesday,Security,0
504,Tuesday,Mechanical,8
512,Tuesday,Operations,30
512,Tuesday,Diversion,29
504,Tuesday,Operations,5
510,Tuesday,Diversion,15
510,Tuesday,Operations,9
504,Tuesday,Held By,11
501,Tuesday,Held By,12
501,Tuesday,Diversion,9
506,Tuesday,Operations,21
505,Tuesday,Emergency Services,9
504,Tuesday,Cleaning - Unsanitary,6
509,Tuesday,Cleaning - Unsanitary,9
506,Wednesday,Cleaning - Unsanitary,6
501,Wednesday,Operations,8
504,Wednesday,Operations,4
504,Wednesday,Operations,4
504,Wednesday,Operations,4
504,Wednesday,Operations,6
504,Wednesday,Operations,5
504,Wednesday,Operations,5
501,Wednesday,Operations,8
504,Wednesday,Mechanical,5
501,Wednesday,Operations,8
504,Wednesday,Operations,5
504,Wednesday,Operations,5
504,Wednesday,Operations,5
RAD,Wednesday,Operations,22
504,Wednesday,Cleaning - Unsanitary,3
505,Wednesday,Operations,8
511,Wednesday,Operations,8
501,Wednesday,Operations,8
501,Wednesday,Operations,5
505,Wednesday,Operations,8
501,Wednesday,Operations,8
506,Wednesday,Operations,8
504,Wednesday,Operations,6
501,Wednesday,Operations,8
510,Wednesday,Operations,5
505,Wednesday,Operations,8
503,Wednesday,Operations,10
510,Wednesday,Held By,10
501,Wednesday,Mechanical,8
501,Wednesday,Operations,8
506,Wednesday,Operations,8
501,Wednesday,Operations,10
504,Wednesday,Operations,6
505,Wednesday,Operations,8
511,Wednesday,Operations,8
501,Wednesday,Operations,10
501,Wednesday,Operations,8
506,Wednesday,Operations,8
512,Wednesday,Operations,6
509,Wednesday,Cleaning - Unsanitary,8
501,Wednesday,Operations,8
501,Wednesday,Operations,8
501,Wednesday,Operations,8
506,Wednesday,Operations,6
505,Wednesday,Operations,8
506,Wednesday,Operations,7
501,Wednesday,Security,0
506,Wednesday,Operations,8
504,Wednesday,Operations,5
511,Wednesday,Operations,8
512,Wednesday,Held By,10
504,Wednesday,Mechanical,5
501,Wednesday,Diversion,233
505,Wednesday,Operations,8
504,Wednesday,Operations,5
504,Wednesday,Operations,5
